pair id,benchmark,benchmark id,solver,solver id,configuration,configuration id,status,cpu time,wallclock time,memory usage,result,Error,Expected_result
452734183,AIGER-Real/random_n_19_1_4_14_13_9_abc.aag,9166889,simpleBDDSolver,24326,seqreal1,332129,timeout (cpu),3600.01,3600.41,92330520,--,Found neither REALIZABLE nor UNREALIZABLE,unknown
452734187,AIGER-Real/random_n_19_1_4_14_13_8_abc.aag,9166890,simpleBDDSolver,24326,seqreal2,332128,timeout (cpu),3600.07,3600.52,92331204,--,Found neither REALIZABLE nor UNREALIZABLE,unknown
452734188,AIGER-Real/random_n_19_1_4_14_13_8_abc.aag,9166890,simpleBDDSolver,24326,seqreal1,332129,timeout (cpu),3600.02,3600.42,92331492,--,Found neither REALIZABLE nor UNREALIZABLE,unknown
452734192,AIGER-Real/random_n_19_1_2_16_14_2_abc.aag,9166891,simpleBDDSolver,24326,seqreal2,332128,timeout (cpu),3600.02,3600.43,92421464,--,Found neither REALIZABLE nor UNREALIZABLE,unknown
452734193,AIGER-Real/random_n_19_1_2_16_14_2_abc.aag,9166891,simpleBDDSolver,24326,seqreal1,332129,timeout (cpu),3600.09,3600.52,92422996,--,Found neither REALIZABLE nor UNREALIZABLE,unknown
452734197,AIGER-Real/random_n_19_1_4_14_12_4_abc.aag,9166892,simpleBDDSolver,24326,seqreal2,332128,timeout (cpu),3600.01,3600.42,92350576,--,Found neither REALIZABLE nor UNREALIZABLE,unknown
452734198,AIGER-Real/random_n_19_1_4_14_12_4_abc.aag,9166892,simpleBDDSolver,24326,seqreal1,332129,timeout (cpu),3600.1,3600.49,92350736,--,Found neither REALIZABLE nor UNREALIZABLE,unknown
452734202,AIGER-Real/random_n_19_1_4_14_13_11_abc.aag,9166893,simpleBDDSolver,24326,seqreal2,332128,timeout (cpu),3600.02,3600.42,92329732,--,Found neither REALIZABLE nor UNREALIZABLE,unknown
452734203,AIGER-Real/random_n_19_1_4_14_13_11_abc.aag,9166893,simpleBDDSolver,24326,seqreal1,332129,timeout (cpu),3600.04,3600.41,92329732,--,Found neither REALIZABLE nor UNREALIZABLE,unknown
452734207,AIGER-Real/random_n_19_1_4_14_13_19_abc.aag,9166894,simpleBDDSolver,24326,seqreal2,332128,timeout (cpu),3600.03,3600.48,92326184,--,Found neither REALIZABLE nor UNREALIZABLE,unknown
